Test_No ;Numune_1_ Relakse_Sonrasi_ En_1;Numune_1_ Relakse_Sonrasi_ En_2;Numune_1_ Relakse_Sonrasi_ En_3;Numune_1_Relakse_Sonrasi_Boy_1;Numune_1_Relakse_Sonrasi_Boy_2;Numune_1_Relakse_Sonrasi_Boy_3;Giris_Alan_Ortalama;Deterjan_Miktarı(gr);Test_Kapasitesi(kg);Su_Sertligi ;Tambur_Hacmi_(lt);SY1_Sure_(sn);SY1_Devir_(rpm);SY1_ED;SG_Sic_(C);I_Bas_Sic (C);I_Sure_(sn);I_Devir_(rpm);I_MHY_ED;I_Tset_(C);AY_Su_Mik_(lt);AY_Sure_(sn);AY_Devir_(rpm);AY_MHY_ED;AY_Tah_(C);Jet_Pompa;Durulama_Sayisi;1D_Su_Mik_(lt);1D_Sure_(sn);1D_Devir_(rpm);1D_MHY_ED;2D_Su_Mik_(lt);2D_Sure_(sn);2D_Devir_(rpm);2D_MHY_ED;2D_Sikma_(rpm);3D_Su_Mik_(lt);3D_Sure_(sn);3D_Devir_(rpm);3D_MHY_ED;Cikis_Alan_Ortalama
1.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.000;30.000;0.036;15.500;17.790;300.000;30.000;0.036;28.790;12.720;1500.000;30.000;0.036;25.790;1.000;3.000;11.640;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.650;300.000;30.000;0.036;71679.500
2.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.000;30.000;0.036;15.700;18.200;300.000;30.000;0.036;28.640;12.670;1490.000;30.000;0.036;26.080;1.000;3.000;11.630;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.670;300.000;30.000;0.036;69506.667
3.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;176.900;30.000;0.036;15.790;18.200;300.000;30.000;0.036;28.490;12.710;1485.000;30.000;0.036;26.120;1.000;3.000;11.620;300.000;30.000;0.036;11.620;300.000;30.000;3.610;0.000;13.630;300.000;30.000;0.036;67925.333
4.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.700;30.000;0.036;15.620;18.110;300.000;30.000;0.036;28.610;12.720;1492.000;30.000;0.036;25.990;1.000;3.000;11.630;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.660;238.700;30.000;0.036;66555.000
5.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.700;30.000;0.036;15.620;18.110;300.000;30.000;0.036;28.610;12.720;1492.000;30.000;0.036;25.990;1.000;3.000;11.630;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.660;235.500;30.000;0.036;64629.000
6.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.700;30.000;0.036;15.500;17.630;300.000;30.000;0.036;28.740;12.740;1485.000;30.000;0.036;25.530;1.000;3.000;11.620;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.640;237.100;30.000;0.036;63209.125
1.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.850;18.040;300.000;30.000;0.029;31.020;12.610;1907.000;30.000;0.029;26.150;1.000;3.000;11.590;180.000;30.000;0.018;11.620;180.000;30.000;1.810;0.000;13.660;180.000;30.000;0.018;72815.500
2.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.770;18.070;300.000;30.000;0.029;30.080;12.630;1904.000;30.000;0.029;26.200;1.000;3.000;11.610;180.000;30.000;0.018;11.610;180.000;30.000;1.810;0.000;13.660;180.000;30.000;0.018;71157.167
3.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.950;18.620;300.000;30.000;0.029;31.660;12.590;1905.000;30.000;0.029;26.740;1.000;3.000;11.610;180.000;30.000;0.018;11.600;180.000;30.000;1.810;0.000;13.670;180.000;30.000;0.018;70378.417
4.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;16.070;18.230;300.000;30.000;0.029;31.000;12.660;1902.000;30.000;0.029;26.120;1.000;3.000;11.620;180.000;30.000;0.018;11.610;180.000;30.000;1.810;0.000;13.670;180.000;30.000;0.018;68967.083
